貸借取引対象銘柄一覧,20251219,,,,,,,,,
貸借申込日,コード,銘柄名,貸借銘柄区分（東証）,貸借銘柄区分（ＣＸＪ）,貸借銘柄区分（ＪＮＸ）,貸借銘柄区分（ＯＤＸ）,貸借銘柄区分（ＪＡＸ）,貸借銘柄区分（名証）,貸借銘柄区分（福証）,貸借銘柄区分（札証）
20251222,1597,ＭＸＳ　Ｊリート投信,1,1,1,1,1,0,0,0
20251222,1599,ｉＦＪＰＸ日経４００,1,1,1,1,1,0,0,0
20251222,159A,ＪＰＸプライム１５０,1,2,2,2,2,0,0,0
20251222,1605,ＩＮＰＥＸ,1,1,1,1,1,0,0,0
20251222,160A,アズパートナーズ,2,2,2,2,2,0,0,0
20251222,1615,ＮＦ銀行業,1,1,1,1,1,0,0,0
20251222,1617,ＮＦ食品Ｔ１７,1,2,2,2,2,0,0,0
20251222,1618,ＮＦエネ資源Ｔ１７,1,2,2,2,2,0,0,0
20251222,1619,ＮＦ建設資材Ｔ１７,1,2,2,2,2,0,0,0
20251222,1620,ＮＦ素材化学Ｔ１７,1,2,2,2,2,0,0,0
20251222,1621,ＮＦ医薬品Ｔ１７,1,2,2,2,2,0,0,0
20251222,1622,ＮＦ自動車Ｔ１７,1,2,2,2,2,0,0,0
20251222,1623,ＮＦ鉄鋼非鉄Ｔ１７,1,2,2,2,2,0,0,0
20251222,1624,ＮＦ機械Ｔ１７,1,2,2,2,2,0,0,0
20251222,1625,ＮＦ電機精密Ｔ１７,1,2,2,2,2,0,0,0
20251222,1626,ＮＦ情通・他Ｔ１７,1,2,2,2,2,0,0,0
20251222,1627,ＮＦ電力ガスＴ１７,1,2,2,2,2,0,0,0
20251222,1628,ＮＦ運輸物流Ｔ１７,1,2,2,2,2,0,0,0
20251222,1629,ＮＦ商社卸売Ｔ１７,1,2,2,2,2,0,0,0
20251222,162A,ＡＩセレクトＥＴＮ,2,2,0,0,0,0,0,0
20251222,1630,ＮＦ小売Ｔ１７,1,2,2,2,2,0,0,0
20251222,1631,ＮＦ銀行Ｔ１７,1,2,2,2,2,0,0,0
20251222,1632,ＮＦ金融Ｔ１７,1,2,2,2,2,0,0,0
20251222,1633,ＮＦ不動産Ｔ１７,1,2,2,2,2,0,0,0
20251222,163A,半導体ＥＴＮ,2,2,0,0,0,0,0,0
20251222,1651,ｉＦ高配当４０,1,2,2,2,2,0,0,0
20251222,1652,ｉＦ女性活躍ＷＩＮ,1,2,2,2,2,0,0,0
20251222,1653,ｉＦＥＳＧセレクト,1,2,2,2,2,0,0,0
20251222,1654,ｉＦブロッサム,1,2,2,2,2,0,0,0
20251222,1655,ｉＳＳＰ５００米国株,1,1,1,1,1,0,0,0
20251222,1656,ｉＳ米国債七十,1,2,2,2,2,0,0,0
20251222,1657,ｉＳＭＳＣＩ先進国株,1,2,2,2,2,0,0,0
20251222,1658,ｉＳＭＳＣＩ新興国株,1,2,2,2,2,0,0,0
20251222,1659,ｉＳ米国リート,1,2,2,2,2,0,0,0
20251222,1660,ＭＸＳ高利Ｊリート,1,2,2,2,2,0,0,0
20251222,1662,石油資源開発,1,1,1,1,1,0,0,0
20251222,1663,Ｋ＆Ｏエナジー,1,1,1,1,1,0,0,0
20251222,166A,タスキＨＤ,1,1,1,1,1,0,0,0
20251222,1671,ＷＴＩ原油ＥＴＦ,1,1,1,1,1,0,0,0
20251222,1672,金ＥＴＦ,1,2,0,2,0,0,0,0
20251222,1673,銀ＥＴＦ,1,2,0,2,0,0,0,0
20251222,1674,プラチナＥＴＦ,1,2,0,2,0,0,0,0
20251222,1675,パラジＥＴＦ,1,2,0,2,0,0,0,0
20251222,1676,キンゾクＥＴＦ,1,2,0,2,0,0,0,0
20251222,1677,上場外債,1,1,1,1,1,0,0,0
20251222,1678,ＮＦインド株,1,1,1,1,1,0,0,0
20251222,1679,ＮＹダウ,1,2,2,2,2,0,0,0
20251222,167A,リョーサン菱洋,1,1,1,1,1,0,0,0
20251222,1680,上場ＭＳコク,1,2,2,2,2,0,0,0
20251222,1681,上場ＭＳエマ,1,2,2,2,2,0,0,0
20251222,1684,商品ＥＴＦ,1,2,0,2,0,0,0,0
20251222,1685,エナジーＥＴＦ,1,2,0,2,0,0,0,0
20251222,1686,メタルＥＴＦ,1,2,0,2,0,0,0,0
20251222,1687,アグリＥＴＦ,1,2,0,2,0,0,0,0
20251222,1688,穀物ＥＴＦ,1,2,0,2,0,0,0,0
20251222,1689,ガスＥＴＦ,1,2,0,2,0,0,0,0
20251222,168A,イタミアート,2,2,2,2,2,0,0,0
20251222,1690,原油ＥＴＦ,1,2,0,2,0,0,0,0
20251222,1691,ガソリンＥＴＦ,1,2,0,2,0,0,0,0
20251222,1692,アルミＥＴＦ,1,2,0,2,0,0,0,0
20251222,1693,銅ＥＴＦ,1,2,0,2,0,0,0,0
20251222,1694,ニッケルＥＴＦ,1,2,0,2,0,0,0,0
20251222,1695,小麦ＥＴＦ,1,2,0,2,0,0,0,0
20251222,1696,コーンＥＴＦ,1,2,0,2,0,0,0,0
20251222,1697,大豆ＥＴＦ,1,2,0,2,0,0,0,0
20251222,1698,上場配当,1,2,2,2,2,0,0,0
20251222,1699,ＮＦ原油先物,1,1,1,1,1,0,0,0
20251222,170A,ＳＭＴ　日本好配当株,1,2,2,2,2,0,0,0
20251222,1711,ＳＤＳＨＤ,2,2,2,2,2,0,0,0
20251222,1716,第一カッター興業,1,2,2,2,2,0,0,0
20251222,1717,明豊ファシリワークス,2,2,2,2,2,0,0,0
20251222,1718,美樹工業,2,2,2,2,2,0,0,0
20251222,1719,安藤・間,1,1,1,1,1,0,0,0
20251222,1720,東急建設,1,1,1,1,1,0,0,0
20251222,1721,コムシスＨＤ,1,1,1,1,1,0,0,0
20251222,1723,日本電技,2,2,2,2,2,0,0,0
20251222,1724,シンクレイヤ,2,2,2,2,2,0,0,0
20251222,1726,ＢＲホールディングス,2,2,2,2,2,0,0,0
20251222,1736,オーテック,2,2,2,2,2,0,0,0
20251222,1738,ニットー,0,0,0,0,0,2,0,0
20251222,173A,ハンモック,2,2,2,2,2,0,0,0
20251222,1758,太洋基礎工業,2,2,2,2,2,0,0,0
20251222,175A,Ｗｉｌｌ　Ｓｍａｒｔ,2,2,2,2,2,0,0,0
20251222,1762,高松コンストラクシＧ,1,1,1,1,1,0,0,0
20251222,1764,工藤建設,2,2,2,2,2,0,0,0
20251222,1766,東建コーポレーション,1,1,1,1,1,1,0,0
20251222,1768,ソネック,1,2,2,2,2,0,0,0
20251222,176A,レジル,2,2,2,2,2,0,0,0
20251222,1770,藤田エンジニアリング,2,2,2,2,2,0,0,0
20251222,1771,日本乾溜工業,0,0,0,0,0,0,2,0
20251222,1773,ワイ・ティー・エル,2,2,0,0,0,0,0,0
20251222,1776,三井住建道路,2,2,2,2,2,0,0,0
20251222,1777,川崎設備工業,0,0,0,0,0,2,0,0
20251222,177A,コージンバイオ,2,2,2,2,2,0,0,0
20251222,1780,ヤマウラ,1,1,1,1,1,1,0,0
20251222,1783,ｆａｎｔａｓｉｓｔａ,2,2,2,2,2,0,0,0
20251222,1786,オリエンタル白石,1,1,1,1,1,0,0,0
20251222,1787,ナカボーテック,2,2,2,2,2,0,0,0
20251222,1788,三東工業社,2,2,2,2,2,0,0,0
20251222,178A,ＧＸ革新優良企業,1,2,2,2,2,0,0,0
20251222,1793,大本組,2,2,2,2,2,0,0,0
20251222,1795,マサル,2,2,2,2,2,0,0,0
20251222,1798,守谷商会,2,2,2,2,2,0,0,0
20251222,1799,第一建設工業,1,2,1,1,1,0,0,0
20251222,179A,ＧＸ超長期米国債Ｈ,1,2,2,2,2,0,0,0
20251222,1801,大成建設,1,1,1,1,1,1,0,0
20251222,1802,大林組,1,1,1,1,1,0,0,0
20251222,1803,清水建設,1,1,1,1,1,1,0,0
20251222,1807,佐藤渡辺,2,2,2,2,2,0,0,0
20251222,1808,長谷工コーポ,1,1,1,1,1,0,0,0
20251222,180A,ＧＸ超長期米国債,1,2,2,2,2,0,0,0
20251222,1810,松井建設,1,2,2,2,2,0,0,0
20251222,1811,銭高組,1,1,1,1,1,1,0,0
20251222,1812,鹿島建設,1,1,1,1,1,1,0,0
20251222,1813,不動テトラ,1,1,1,1,1,0,0,0
20251222,1814,大末建設,1,2,2,2,2,0,0,0
20251222,1815,鉄建建設,1,1,1,1,1,0,0,0
20251222,181A,ＭＸ米債１－３ヘ無,1,2,2,2,2,0,0,0
20251222,1820,西松建設,1,1,1,1,1,0,0,0
20251222,1822,大豊建設,1,1,1,1,1,0,0,0
20251222,1826,佐田建設,1,2,2,2,2,0,0,0
20251222,1827,ナカノフドー建設,1,2,2,2,2,0,0,0
20251222,1828,田辺工業,2,2,2,2,2,0,0,0
20251222,182A,ＭＸ米債２０超ヘ無,1,2,2,2,2,0,0,0
20251222,1832,北海電工,0,0,0,0,0,0,0,2
20251222,1833,奥村組,1,1,1,1,1,0,0,0
20251222,1835,東鉄工業,1,1,1,1,1,0,0,0
20251222,183A,ＭＸ米債２０超ヘ有,1,2,2,2,2,0,0,0
20251222,1840,土屋ホールディングス,1,2,2,2,2,0,0,1
20251222,1841,サンユー建設,2,2,2,2,2,0,0,0
20251222,1844,大盛工業,2,2,2,2,2,0,0,0
20251222,1847,イチケン,2,2,2,2,2,0,0,0
20251222,1848,富士ピー・エス,1,2,2,2,2,0,1,0
20251222,184A,学びエイド,2,2,2,2,2,0,0,0
20251222,1850,南海辰村建設,2,2,2,2,2,0,0,0
20251222,1852,浅沼組,1,1,1,1,1,0,0,0
20251222,1853,森組,2,2,2,2,2,0,0,0
20251222,1860,戸田建設,1,1,1,1,1,0,0,0
20251222,1861,熊谷組,1,1,1,1,1,0,0,0
20251222,1866,北野建設,1,2,2,2,2,0,0,0
20251222,1867,植木組,1,2,2,2,2,0,0,0
20251222,1869,名工建設,0,0,0,0,0,1,0,0
20251222,186A,アストロスケール,1,2,1,1,1,0,0,0
20251222,1870,矢作建設工業,1,1,1,1,1,1,0,0
20251222,1871,ピーエス,1,1,1,1,1,0,0,0
20251222,1873,日本ハウスＨＤ,2,2,2,2,2,0,0,0
20251222,1878,大東建託,1,1,1,1,1,1,0,0
20251222,1879,新日本建設,1,1,1,1,1,0,0,0
20251222,1882,東亜道路工業,1,1,1,1,1,0,0,0
20251222,1885,東亜建設工業,1,1,1,1,1,0,0,1
20251222,1887,日本国土開発,1,1,1,1,1,0,0,0
20251222,1888,若築建設,1,1,1,1,1,0,0,0
20251222,188A,ＧＸ印度トップ１０＋,1,2,2,2,2,0,0,0
20251222,1892,徳倉建設,0,0,0,0,0,1,0,0
20251222,1893,五洋建設,1,1,1,1,1,1,0,0
20251222,1897,金下建設,2,2,2,2,2,0,0,0
20251222,1898,世紀東急工業,1,1,1,1,1,0,0,0
20251222,1899,福田組,1,1,1,1,1,0,0,0
20251222,189A,Ｄ＆Ｍカンパニー,2,2,2,2,2,0,0,0
20251222,1904,大成温調,1,2,2,2,2,0,0,0
20251222,1905,テノックス,2,2,2,2,2,0,0,0
20251222,1909,日本ドライケミカル,1,2,2,2,2,0,0,0
20251222,190A,Ｃｈｏｒｄｉａ,2,2,2,2,2,0,0,0
20251222,1911,住友林業,1,1,1,1,1,0,0,0
20251222,1914,日本基礎技術,1,2,2,2,2,0,0,0
20251222,1921,巴コーポレーション,1,2,1,1,1,0,0,1
20251222,1925,大和ハウス工業,1,1,1,1,1,0,0,0
20251222,1926,ライト工業,1,1,1,1,1,0,0,0
20251222,1928,積水ハウス,1,1,1,1,1,1,0,0
